# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()
0	-0.9990807	-0.0014679654	0.00028826276	0	0	0	-0.7854186	-0.0023101824	0.0004536479
0	-0.9990402	0.0064958353	0.00023640678	-0.00013951295	0.003995128	-0.00013959799	-0.7853548	0.010222694	0.00037204055
0	-0.99887085	0.014452163	0.00018491506	-0.0002790259	0.007990256	-0.00027919599	-0.7850883	0.02274381	0.00029100646
0	-0.99857366	0.022395499	0.0001337924	-0.0004185389	0.011985384	-0.0004187939	-0.78462046	0.03524448	0.00021055317
0	-0.99814916	0.03032061	8.303553e-05	-0.0005580518	0.015980512	-0.00055839197	-0.7839525	0.04771647	0.00013067554
0	-0.9975988	0.038222507	3.2634678e-05	-0.00069756474	0.01997564	-0.00069798995	-0.7830864	0.06015192	5.1358198e-05
0	-0.99692404	0.046096556	-1.742532e-05	-0.0008370778	0.023970768	-0.0008375878	-0.7820245	0.072543554	-2.7422759e-05
0	-0.9961265	0.053938564	-6.716285e-05	-0.0009765906	0.027965901	-0.0009771859	-0.7807694	0.08488476	-0.000105696214
0	-0.9952078	0.06174445	-0.000116599054	-0.0011161036	0.031961024	-0.0011167839	-0.7793237	0.09716912	-0.00018349549
0	-0.99416995	0.06951075	-0.00016575467	-0.0012556165	0.035956148	-0.001256382	-0.77769035	0.10939119	-0.00026085318
0	-0.99301475	0.077234134	-0.0002146499	-0.0013951295	0.03995128	-0.0013959799	-0.77587223	0.1215457	-0.00033780112
0	-0.99174404	0.084911466	-0.00026330404	-0.0015346425	0.04394641	-0.0015355778	-0.77387255	0.13362777	-0.0004143696
0	-0.9903599	0.09253973	-0.00031173456	-0.0016741556	0.047941536	-0.0016751756	-0.7716943	0.1456326	-0.00049058616
0	-0.9888643	0.10011614	-0.00035995623	-0.0018136686	0.05193666	-0.0018147734	-0.76934063	0.15755582	-0.00056647405
0	-0.9872593	0.10763787	-0.0004079831	-0.001953181	0.055931803	-0.0019543718	-0.7668148	0.16939297	-0.00064205553
0	-0.9855471	0.11510205	-0.00045582728	-0.0020926942	0.059926923	-0.0020939698	-0.7641203	0.1811396	-0.0007173493
0	-0.9837299	0.12250584	-0.00050349964	-0.0022322072	0.06392205	-0.0022335679	-0.7612605	0.19279116	-0.00079237274
0	-0.98181	0.12984645	-0.00055100984	-0.00237172	0.067917176	-0.0023731657	-0.7582391	0.20434332	-0.00086714095
0	-0.97978973	0.1371212	-0.00059836626	-0.002511233	0.071912296	-0.002512764	-0.7550596	0.21579182	-0.0009416672
0	-0.9776719	0.1443265	-0.0006455816	-0.0026507454	0.07590743	-0.0026523618	-0.75172657	0.22713098	-0.0010159714
0	-0.9754588	0.1514598	-0.0006926623	-0.002790259	0.07990256	-0.0027919598	-0.7482439	0.2383569	-0.0010900637
0	-0.97315365	0.15851782	-0.0007396198	-0.0029297716	0.0838977	-0.0029315578	-0.7446163	0.24946432	-0.0011639621
0	-0.9707593	0.16549772	-0.0007864642	-0.003069285	0.08789282	-0.0030711556	-0.74084824	0.2604488	-0.0012376826
0	-0.968279	0.17239606	-0.0008332095	-0.0032087977	0.09188794	-0.0032107534	-0.73694485	0.27130497	-0.0013112472
0	-0.96571594	0.17920986	-0.00087986916	-0.0033483112	0.09588307	-0.0033503512	-0.73291147	0.28202802	-0.0013846769
0	-0.963074	0.18593602	-0.0009264582	-0.0034878238	0.0998782	-0.003489949	-0.72875357	0.2926132	-0.0014579955
0	-0.9603565	0.19257152	-0.0009729928	-0.0036273373	0.10387332	-0.0036295468	-0.72447705	0.30305564	-0.0015312283
0	-0.9575674	0.19911365	-0.0010194876	-0.0037668496	0.10786844	-0.003769146	-0.7200877	0.31335127	-0.0016043987
0	-0.9547106	0.20555949	-0.0010659586	-0.003906362	0.111863606	-0.0039087436	-0.71559197	0.32349524	-0.0016775316
0	-0.95179015	0.21190672	-0.0011124179	-0.0040458753	0.115858726	-0.0040483414	-0.710996	0.33348405	-0.0017506459
0	-0.9488101	0.21815298	-0.0011588758	-0.0041853883	0.11985385	-0.0041879397	-0.7063061	0.343314	-0.001823758
0	-0.9457745	0.22429621	-0.0012053391	-0.0043249014	0.123848975	-0.0043275375	-0.7015289	0.3529818	-0.0018968787
0	-0.94268763	0.23033445	-0.0012518121	-0.0044644144	0.1278441	-0.0044671358	-0.696671	0.3624843	-0.0019700148
0	-0.9395533	0.2362663	-0.0012982943	-0.0046039275	0.13183923	-0.0046067336	-0.6917386	0.37181947	-0.0020431653
0	-0.93637615	0.2420903	-0.0013447825	-0.00474344	0.13583435	-0.0047463314	-0.6867383	0.38098487	-0.0021163253
0	-0.93315965	0.2478053	-0.0013912726	-0.0048829536	0.1398295	-0.00488593	-0.6816765	0.38997874	-0.0021894884
0	-0.9299082	0.25341025	-0.001437756	-0.005022466	0.14382459	-0.005025528	-0.6765597	0.39879945	-0.0022626405
0	-0.9266258	0.2589046	-0.0014842242	-0.005161979	0.14781974	-0.0051651257	-0.671394	0.4074461	-0.002335769
0	-0.9233162	0.26428777	-0.0015306668	-0.005301491	0.15181486	-0.0053047235	-0.6661857	0.4159177	-0.002408857
0	-0.9199833	0.26955944	-0.0015770738	-0.005441006	0.15581	-0.0054443213	-0.6609407	0.42421392	-0.0024818894
0	-0.9166311	0.27471942	-0.0016234356	-0.005580518	0.15980512	-0.0055839196	-0.65566504	0.4323344	-0.0025548502
0	-0.9132629	0.2797682	-0.0016697426	-0.005720031	0.16380025	-0.0057235174	-0.6503643	0.4402797	-0.002627725
0	-0.90988237	0.28470567	-0.0017159866	-0.005859543	0.1677954	-0.0058631157	-0.6450442	0.44804996	-0.0027005004
0	-0.9064928	0.28953248	-0.0017621601	-0.0059990566	0.1717905	-0.0060027135	-0.63971007	0.45564613	-0.0027731652
0	-0.9030977	0.29424933	-0.0018082568	-0.00613857	0.17578565	-0.0061423113	-0.6343671	0.46306914	-0.002845709
0	-0.8997001	0.298857	-0.0018542721	-0.0062780827	0.17978074	-0.006281909	-0.6290202	0.47032037	-0.0029181242
0	-0.8963028	0.3033568	-0.0019002008	-0.0064175953	0.18377589	-0.006421507	-0.62367386	0.47740182	-0.0029904037
0	-0.89290875	0.30774957	-0.0019460403	-0.0065571074	0.18777102	-0.0065611047	-0.6183326	0.48431492	-0.003062543
0	-0.8895208	0.31203684	-0.0019917875	-0.0066966224	0.19176614	-0.0067007025	-0.61300075	0.4910618	-0.0031345366
0	-0.8861412	0.3162198	-0.0020374397	-0.0068361345	0.19576131	-0.0068403003	-0.60768217	0.49764475	-0.003206381
0	-0.88277227	0.32030028	-0.0020829958	-0.0069756475	0.1997564	-0.006979898	-0.60238045	0.50406635	-0.0032780736
0	-0.8794163	0.32427981	-0.0021284528	-0.0071151596	0.20375155	-0.0071194987	-0.597099	0.51032907	-0.003349611
0	-0.87607557	0.32815996	-0.0021738096	-0.0072546746	0.20774664	-0.0072590937	-0.59184146	0.51643527	-0.0034209907
0	-0.87275153	0.33194262	-0.0022190644	-0.0073941867	0.21174179	-0.0073986943	-0.58661044	0.5223882	-0.0034922091
0	-0.8694463	0.33562964	-0.0022642154	-0.0075336993	0.21573688	-0.007538292	-0.58140886	0.5281906	-0.0035632649
0	-0.8661614	0.3392229	-0.0023092607	-0.007673212	0.21973205	-0.00767789	-0.5762392	0.5338454	-0.0036341539
0	-0.8628983	0.34272423	-0.0023541981	-0.007812724	0.22372721	-0.007817487	-0.57110405	0.5393556	-0.0037048734
